,filename,blocks,lines
0,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00022.xml,98,135
1,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00023.xml,14,121
2,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00024.xml,8,286
3,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00025.xml,7,285
4,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00026.xml,11,250
5,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00027.xml,21,136
6,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00028.xml,24,202
7,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251229-00001.xml,24,58
8,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251229-00002.xml,6,143
9,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251229-00003.xml,75,214
10,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251229-00004.xml,5,162
11,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251229-00005.xml,5,163
12,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251229-00006.xml,6,126
13,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251229-00007.xml,8,128
14,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251229-00008.xml,4,124
15,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251229-00009.xml,7,151
16,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251229-00010.xml,8,145
17,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251229-00011.xml,22,84
18,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251229-00012.xml,4,27
19,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251229-00013.xml,55,98
20,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251229-00014.xml,4,28
21,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251229-00015.xml,9,13
22,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251229-00016.xml,17,32
23,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251229-00017.xml,19,30
24,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251229-00018.xml,5,25
